,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,prim_key,date
193,51.2,47.7,1015.7,6.5,2.4,8.9,61.0,45.0,0.33,0,1,0,0,0,0,722180_3820,2017-01-01
194,80.0,73.5,1013.9,9.4,8.5,15.9,87.1,75.0,0.0,1,1,0,0,1,0,722137_13878,2017-09-23
195,62.1,55.6,993.9,9.2,4.2,17.1,78.1,51.1,0.5,0,1,0,0,1,0,722181_13837,2017-02-08
196,54.9,49.1,990.4,8.9,9.2,20.0,73.9,50.0,0.59,0,1,0,0,0,0,722255_93842,2017-05-05
197,76.2,72.7,989.6,4.6,1.2,7.0,88.0,71.1,1.03,1,0,0,0,0,0,722197_53819,2017-10-10
198,72.8,71.6,990.2,8.6,2.5,6.0,77.0,70.0,0.19,0,1,0,0,0,0,722197_53819,2017-06-21
199,44.2,42.1,991.0,6.0,5.2,8.0,48.9,41.0,0.5,0,1,0,0,0,0,722156_53873,2017-01-01
200,63.3,59.4,996.5,7.9,6.3,15.0,73.0,55.0,1.09,0,1,0,0,0,0,722255_93842,2017-02-22
201,76.8,72.9,1008.2,9.5,5.6,8.9,79.0,73.4,0.37,0,1,0,0,0,0,722137_13878,2017-06-06
202,64.5,58.6,996.0,6.6,18.6,31.1,73.0,60.1,0.49,1,1,0,0,0,0,722181_13837,2017-09-11
203,77.8,71.9,1009.8,7.8,3.2,18.1,93.9,69.8,0.94,1,1,0,0,1,0,723160_13870,2017-08-31
204,39.2,32.2,1004.0,7.5,8.5,15.9,45.0,33.8,1.44,0,1,1,0,0,0,722181_13837,2017-01-07
205,50.2,50.0,992.1,4.4,5.3,8.9,55.0,39.9,0.83,1,1,0,0,0,0,723110_13873,2017-01-02
206,77.8,75.4,1005.0,8.9,8.8,19.0,91.0,73.0,0.85,1,1,0,0,0,0,722166_93845,2017-10-08
207,78.4,73.7,994.1,10.0,2.8,8.0,88.0,73.0,0.53,0,1,0,0,0,0,723200_93801,2017-10-10
208,67.8,63.0,1003.8,8.8,6.1,14.0,81.0,55.0,0.23,0,1,0,0,0,0,747810_13857,2017-01-20
209,75.5,72.3,973.6,7.8,2.4,6.0,84.2,71.6,0.01,0,1,0,0,0,0,722185_53838,2017-10-10
210,57.5,54.7,984.2,8.3,2.2,14.0,64.0,50.0,1.26,1,1,0,0,0,0,722156_53873,2017-01-03
